"","nama_sklh","kota_sklh","provinsi","lulus.2020","tdk_admisi.2020","tdk_bayar.2020","jml.2020","lulus.2021","tdk_admisi.2021","tdk_bayar.2021","jml.2021"
"305","SMKS AS SYUHADA AL KHAIRIYAH","Kota Cilegon","Banten",2,0,0,0,0,0,0,0
"306","SMKS AVICENA RAJEG","Kab. Tangerang","Banten",1,0,0,0,0,0,0,0
"307","SMKS BAHARI CILEGON ABADI CILEGON","Kota Cilegon","Banten",2,0,1,1,0,0,0,0
"308","SMKS BHAKTI ANINDYA","Kota Tangerang","Banten",1,0,0,0,0,0,0,0
"309","SMKS BINA INSAN CENDEKIA TANGERANG","Kota Tangerang","Banten",1,0,0,0,0,0,0,0
"310","SMKS BINA MANDIRI","Kota Bekasi","Jawa Barat",1,0,0,0,0,0,0,0
"311","SMKS INFORMATIKA KOTA SERANG","Kota Serang","Banten",2,0,0,0,0,0,0,0
"312","SMKS KESEHATAN HUSADA PRATAMA","Kota Serang","Banten",1,0,0,0,0,0,0,0
"313","SMKS LAB BUSINESS SCHOOL","Kota Tangerang","Banten",0,0,0,0,1,0,0,0
"314","SMKS MUHAMMADIYAH CILEGON","Kota Cilegon","Banten",2,0,0,0,0,0,0,0
"315","SMKS MUHAMMADIYAH PONTANG","Kab. Serang","Banten",4,0,0,0,0,0,0,0
"316","SMKS NURUL FALAH TIGARAKSA","Kab. Tangerang","Banten",0,0,0,0,1,0,0,0
"317","SMKS NURUL HUDA","Kab. Serang","Banten",0,0,0,0,1,0,0,0
"318","SMKS NUSANTARA 1 KOTA TANGERANG","Kota Tangerang","Banten",1,0,0,0,0,0,0,0
"319","SMKS PANCA KARYA","Kota Tangerang","Banten",1,0,0,0,0,0,0,0
"320","SMKS PENERBANGAN DIRGHANTARA","Kab. Tangerang","Banten",0,0,0,0,1,0,0,0
"321","SMKS PGRI 1 BALARAJA","Kab. Tangerang","Banten",1,0,0,0,0,0,0,0
"322","SMKS PGRI 109 TANGGERANG","Kota Tangerang","Banten",1,1,0,1,0,0,0,0
"323","SMKS PGRI 11 CILEDUG","Kota Tangerang","Banten",1,0,0,0,0,0,0,0
"324","SMKS PGRI 2 KOTA SERANG","Kota Serang","Banten",0,0,0,0,1,0,0,0
"325","SMKS PGRI PINANG","Kota Tangerang","Banten",1,0,0,0,0,0,0,0
"326","SMKS PGRI RANGKASBITUNG","Kab. Lebak","Banten",1,0,0,0,0,0,0,0
"327","SMKS PRIMA UNGGUL","Kota Tangerang","Banten",0,0,0,0,1,0,0,0
"328","SMKS TELKOM SANDHY PUTRA JAKARTA","Kota Jakarta Barat","DKI Jakarta",1,0,0,0,0,0,0,0
"329","SMKS TIARA AKSARA","Kota Tangerang","Banten",3,0,0,0,0,0,0,0
"330","SMKS YABHINKA CILEGON","Kota Cilegon","Banten",1,0,0,0,0,0,0,0
"331","SMKS YADIKA 4","Kota Tangerang","Banten",1,0,0,0,0,0,0,0
"332","SMKS YARSI MEDIKA","Kab. Tangerang","Banten",1,1,0,1,0,0,0,0
"333","SMKS YP 17 CILEGON","Kota Cilegon","Banten",2,0,0,0,0,0,0,0
"334","SMKS YUPPENTEK 1 TANGERANG","Kota Tangerang","Banten",0,0,0,0,1,0,0,0
"335","SMKS YUPPENTEK 5 CURUG","Kab. Tangerang","Banten",1,0,0,0,0,0,0,0
